OBJECTID *,Shape *,Name,Elevation,Longitude,Latitude,OBJECTID *,globalid,tree_speci,tree_heigh,dead_alive,large_tree,rtk_id,tree_id_sp
41,Point,41,1759.466,37.357785,0.211912,41,e2efa9be-57db-46a9-9899-33bfc4131531,Vachellia_drepanolobium,4.5,Alive,393,41,db7c2c61-84f2-4fe9-920a-61c5a452fc11
42,Point,42,1759.71,37.357829,0.211843,44,3064a2e2-f4ad-43fa-89ff-c1f9c5523337,Vachellia_drepanolobium,3.8,Alive,394,42,c6fa5e3c-3433-4d00-b9c0-d24743fc682c
43,Point,43,1759.663,37.357826,0.21187,45,8571f9cf-a1d7-4f69-9075-04b7bd241c33,Vachellia_drepanolobium,4,Alive,395,43,ee317a45-df6e-4dfb-b1c2-b15cdb7c1f8b
44,Point,44,1759.637,37.357825,0.211884,46,82db1eee-2e70-4969-8077-9e56209251f2,Vachellia_drepanolobium,5.3,Alive,396,44,6557d2ce-bbf3-4d7c-ac96-7536d0214223
45,Point,45,1759.515,37.357823,0.211916,47,8be10b88-71a1-4447-9d6d-49ba423dc677,Vachellia_drepanolobium,3.9,Alive,397,45,90c2e9b2-c680-4a26-bccd-1a47860a0f39
46,Point,46,1759.437,37.357839,0.211939,48,e6c03cbd-e969-42e7-9949-af8d314da7e0,Vachellia_drepanolobium,4.5,Alive,398,46,69789626-fab1-4e85-b544-68dddee8d44c
47,Point,47,1759.491,37.357852,0.211936,49,faad87c6-534f-494b-bf35-dda9e84ddac0,Vachellia_drepanolobium,3.8,Alive,399,47,8979d5b6-418f-43ee-b052-5b9857fb37c4
48,Point,48,1759.537,37.357836,0.211982,50,423c3873-b9ab-4f06-9940-d275918be172,Searsia_natalensis,3.4,Alive,400,48,ed19d984-1a0e-40ee-8157-261e72e214a1
49,Point,49,1759.234,37.357838,0.212006,51,100a49c1-753f-4452-91d3-cc3829957059,Vachellia_drepanolobium,4.6,Alive,401,49,900b887b-702b-4440-b269-a9c302e517f5
50,Point,50,1758.812,37.357838,0.212062,52,9bb52f7c-3704-4c40-9e5f-039125a218b6,Vachellia_drepanolobium,3.6,Alive,402,50,f63fbf1f-fb40-4264-bc78-dfeb67cee884
51,Point,51,1758.964,37.357846,0.212063,53,c7425a29-504f-4b9c-886a-b1a6afc9b6e7,Vachellia_drepanolobium,3.4,Alive,725,51,290113f7-315d-4c10-9d00-bd6cb8d01249
52,Point,52,1759.024,37.357857,0.212058,54,d2532899-8b8c-4a87-a618-5960030145d3,Vachellia_drepanolobium,2.5,Alive,726,52,9f525832-97ef-406c-8b2f-6723eee64c06
53,Point,53,1759.296,37.357915,0.212029,55,54bc0e58-0ed2-4812-88c4-b13b1352dd55,Vachellia_drepanolobium,5.2,Alive,403,53,b83fde34-99ac-405c-ac57-772fa3dddb8f
54,Point,55,1759.348,37.357883,0.212001,57,d52972d5-bb6c-432e-bf16-d752964ae59a,Vachellia_drepanolobium,4.1,Alive,405,55,ec9847a6-9e8f-40f8-880d-4ab0e13acc06
55,Point,56,1759.374,37.357912,0.211996,58,c2d40c7b-c621-4a72-acfc-fd93a2c75fcd,Vachellia_drepanolobium,2.5,Alive,727,56,c316c459-7b1b-4381-9a99-484768e74227
56,Point,57,1759.636,37.35794,0.211956,59,15fa6281-0650-43b4-b8a2-2672a6458812,Vachellia_drepanolobium,5.9,Alive,406,57,e918e3a1-9a0d-4035-b1da-2fffd0ced51a
57,Point,58,1759.668,37.357922,0.211948,60,26055fe7-dc99-4416-ad2c-2ade48ff7bb3,Vachellia_drepanolobium,5.1,Alive,407,58,96fb2fe1-e6c7-4424-aba7-3d9dd0b69ee6
58,Point,59,1759.555,37.357885,0.211965,61,883b4576-2e63-4abe-8002-f21bb2647d7e,Vachellia_drepanolobium,3.5,Alive,408,59,c1b0f252-4ba6-4d54-a9fc-563a5b0dee77
59,Point,60,1759.601,37.3579,0.211931,62,dc648330-7696-43dc-bcc1-8e5da66a2ffa,Vachellia_drepanolobium,5.2,Alive,409,60,581387e6-f40a-44fa-9166-b108f216fa38
60,Point,61,1759.69,37.357894,0.211919,63,523f0451-18c0-4c6d-905a-d2ccfe98c147,Vachellia_drepanolobium,3.4,Alive,410,61,e843f06e-6968-472b-a3c4-4f4a44bf6873
61,Point,62,1759.726,37.357899,0.211902,64,6b742c10-a22f-4386-88b1-8e58e35924a0,Vachellia_drepanolobium,3.5,Alive,411,62,999d56f8-4737-40e2-849f-73f40e2295fb
62,Point,63,1759.751,37.357873,0.211865,65,8f6356f7-3590-40f8-821e-935f4b6c826a,Vachellia_drepanolobium,4.7,Alive,412,63,f47fc9a8-0e91-4ca2-9460-27eac814742d
63,Point,64,1760.569,37.357929,0.211886,66,8275cf05-65d9-46b3-b7b8-1bb25acfb08d,Vachellia_drepanolobium,2.1,Dead,<Null>,64,824061ab-05a8-453e-b1e0-54f8076694ec
64,Point,65,1760.003,37.357944,0.211871,67,b92029ed-49fa-45d0-aff2-b90909857364,Searsia_natalensis,0.7,Dead,<Null>,65,8d8cf91a-51b2-4ee2-8553-0e09cb0f5512
65,Point,66,1760.011,37.357967,0.211856,42,82b421ac-4e24-43ef-879c-fc2986bf5bab,Vachellia_drepanolobium,1.2,Dead,<Null>,66,25645fe5-6a7c-4207-a328-19d925fe8d36
66,Point,67,1759.998,37.358026,0.211881,68,df3ebe48-f281-492e-af91-a0076a2e8594,Vachellia_drepanolobium,6.5,Alive,413,67,2a4e9bc5-8e3c-443f-8951-7882d93a513c
67,Point,68,1759.963,37.35797,0.211897,69,6ea6a612-bda4-45bb-893f-ea5209d949be,Vachellia_drepanolobium,5.5,Alive,414,68,17396b2e-d0bf-482f-8922-98e4d8b7833c
68,Point,69,1759.779,37.357978,0.211911,70,9865fdae-c8fb-41fe-a49f-40cfd4afc686,Vachellia_drepanolobium,3.4,Alive,415,69,8761d4fb-f6cc-48fc-8630-adb46e548650
69,Point,70,1759.784,37.358047,0.211877,71,dba64bea-4277-41a8-b936-14f400304459,Vachellia_drepanolobium,4.2,Alive,416,70,9cbcdc9e-f12a-43bb-9f57-f74dbe4d6ee0
70,Point,71,1759.805,37.35798,0.211929,72,29e9e6e4-006c-4154-9cad-c4a290c6bffb,Vachellia_drepanolobium,4.6,Alive,417,71,52b1d168-9caa-4e31-96f4-263194e158a4
71,Point,72,1759.741,37.357977,0.211942,73,2856ba74-207b-4bdb-95a9-03e1b9e89971,Vachellia_drepanolobium,5.1,Alive,418,72,6d84cdb6-1cf8-4ed5-894c-c2d6d98bb694
72,Point,73,1759.609,37.357989,0.211952,74,fe4410a5-f57b-41ad-a225-608996d23121,Vachellia_drepanolobium,4.8,Alive,419,73,1b14799a-f507-4d93-a9f1-774762fb61a0
73,Point,74,1759.414,37.358029,0.211942,75,71fbcf61-e279-4b5d-a88c-629a111a84ab,Vachellia_drepanolobium,3.6,Alive,420,74,71df8226-053f-414f-ae6d-5eac30e8bb00
74,Point,75,1759.12,37.357966,0.211994,76,db73aef4-cb88-4307-823a-2019ae02b3c3,Vachellia_drepanolobium,3.6,Alive,421,75,49d708ce-36a9-4987-ac6f-b00cdcc23464
75,Point,76,1759.276,37.357965,0.212006,77,67543c08-6076-41e5-ad97-c7d888bb644b,Vachellia_drepanolobium,2.9,Alive,728,76,f4968c11-f42d-4ed5-a057-eeac60bcbf97
76,Point,77,1759.517,37.357954,0.212014,78,e6ae1424-10d9-474d-87bd-faa831b3b6bc,Vachellia_drepanolobium,5.5,Alive,422,77,de4ebb6c-507d-407b-b183-060114a02d3f
77,Point,78,1759.546,37.35801,0.212036,79,96fa4355-4126-4300-9ad2-d924e875a49c,Vachellia_drepanolobium,2,Dead,<Null>,78,866f142b-ccf4-405d-86e9-279b6456b06c
78,Point,79,1759.654,37.358043,0.212038,43,ef618aac-1796-430c-8f1e-e804568924bc,Vachellia_drepanolobium,5.1,Alive,423,79,61297296-3889-4882-983c-7f88bea4046f
79,Point,80,1759.465,37.358034,0.212079,80,12522565-363b-4e3d-80fd-013266f84463,Vachellia_drepanolobium,4,Alive,424,80,6e240472-8c82-4c31-9c0d-039bf24e0440
80,Point,81,1759.432,37.358017,0.212088,81,5d23274d-548f-4eb2-8738-7804166e3009,Vachellia_drepanolobium,2.5,Alive,425,81,489c3632-f723-4dfb-bb4b-f71d6e119569
81,Point,82,1759.278,37.357975,0.21213,82,ad0c20a6-544b-40e2-ba48-a925972c3d2d,Vachellia_drepanolobium,2.3,Alive,426,82,48250f22-e1dc-4342-ad1a-cc85b66104c4
82,Point,83,1759.258,37.357992,0.21214,83,085391e6-e374-4cb5-a139-46f5148a9fa6,Vachellia_drepanolobium,4.3,Alive,427,83,1bffadc2-d92a-40ff-8dba-f4add2065992
83,Point,84,1758.821,37.357963,0.212242,84,d0440613-dc2c-4b15-b0f7-ae5e8ab9777c,Senegalia_melifera,3.2,Alive,428,84,f632f46a-632e-468b-ab38-92be56f5851b
84,Point,85,1758.801,37.357913,0.212215,85,88b29895-2f36-4b74-b609-9e29bfc27882,Vachellia_drepanolobium,2.3,Alive,729,85,d791f434-6625-4708-9b82-8ac1cd08801c
85,Point,86,1758.985,37.357952,0.212198,86,9670ecc9-573b-4044-a839-d1805c5b760f,Vachellia_drepanolobium,0.7,Dead,<Null>,86,39474a29-2d91-4ce5-bb80-e413874907a6
86,Point,87,1758.885,37.3579,0.212194,87,7f582c71-9edf-4e0f-8473-003f807d1fc7,Vachellia_drepanolobium,2.3,Alive,429,87,a82c0405-9c37-421a-9d89-e488abb6739a
87,Point,88,1758.947,37.357852,0.212153,88,00f88919-83b2-43f4-a314-c3d44460fef1,Vachellia_drepanolobium,3,Alive,430,88,6099f90f-590e-43d4-bcd3-3d385189e532
88,Point,89,1759.043,37.357926,0.212159,89,2ee3f0c0-d93d-4d60-9548-7754f7a28be7,Lycium_shawii,2,Alive,431,89,f1f14cfb-af49-470e-b0c6-3dcf3f8d1b37
89,Point,90,1759.356,37.357941,0.212118,90,ca7ef50f-482b-4e73-aedb-59b86477cddf,Vachellia_drepanolobium,4.3,Alive,432,90,b9bb1251-8a3d-48d3-a13c-744e7614360b
